cohort_month,month,cohort_sales
2010-02-05,2010-02,49750740.50
2010-02-05,2010-02,48328507.20
2010-02-05,2010-02,48260262.71
2010-02-05,2010-02,43968295.33
2010-02-05,2010-03,46871450.64
2010-02-05,2010-03,45924442.76
2010-02-05,2010-03,44988282.35
2010-02-05,2010-03,44131821.26
2010-02-05,2010-04,50420672.69
2010-02-05,2010-04,47362751.81
2010-02-05,2010-04,45181337.44
2010-02-05,2010-04,44731784.12
2010-02-05,2010-04,43702876.77
2010-02-05,2010-05,48493521.74
2010-02-05,2010-05,45296514.85
2010-02-05,2010-05,45116070.90
2010-02-05,2010-05,47753020.77
2010-02-05,2010-06,50183839.35
2010-02-05,2010-06,47821932.67
2010-02-05,2010-06,47618247.00
2010-02-05,2010-06,46605251.27
2010-02-05,2010-07,48907603.31
2010-02-05,2010-07,47861669.45
2010-02-05,2010-07,46208316.35
2010-02-05,2010-07,44852768.34
2010-02-05,2010-07,44596623.21
2010-02-05,2010-08,48168993.84
2010-02-05,2010-08,46432031.93
2010-02-05,2010-08,47030185.88
2010-02-05,2010-08,45878777.91
2010-02-05,2010-09,47156955.50
2010-02-05,2010-09,45593491.42
2010-02-05,2010-09,43047407.74
2010-02-05,2010-09,41322750.86
2010-02-05,2010-10,42203033.21
2010-02-05,2010-10,45068417.87
2010-02-05,2010-10,43104600.34
2010-02-05,2010-10,43021658.08
2010-02-05,2010-10,43564461.15
2010-02-05,2010-11,45737847.79
2010-02-05,2010-11,46081341.25
2010-02-05,2010-11,45082708.12
2010-02-05,2010-11,65766054.54
2010-02-05,2010-12,49868665.15
2010-02-05,2010-12,55621486.96
2010-02-05,2010-12,61771923.60
2010-02-05,2010-12,80874081.64
2010-02-05,2010-12,40389406.68
2010-02-05,2011-01,42742235.03
2010-02-05,2011-01,40636916.48
2010-02-05,2011-01,40617201.49
2010-02-05,2011-01,39553322.21
2010-02-05,2011-02,46100101.61
2010-02-05,2011-02,47279755.14
2010-02-05,2011-02,48642392.56
2010-02-05,2011-02,44074858.39
2010-02-05,2011-03,46917721.16
2010-02-05,2011-03,44575819.63
2010-02-05,2011-03,44817145.14
2010-02-05,2011-03,42807718.47
2010-02-05,2011-04,43405743.60
2010-02-05,2011-04,45831205.90
2010-02-05,2011-04,44918146.50
2010-02-05,2011-04,48617587.96
2010-02-05,2011-04,43475210.51
2010-02-05,2011-05,46797059.35
2010-02-05,2011-05,45358471.34
2010-02-05,2011-05,43992343.70
2010-02-05,2011-05,45223478.41
2010-02-05,2011-06,48699277.24
2010-02-05,2011-06,47605298.46
2010-02-05,2011-06,47380936.67
2010-02-05,2011-06,45828109.92
2010-02-05,2011-07,47519202.99
2010-02-05,2011-07,47791619.91
2010-02-05,2011-07,45460648.48
2010-02-05,2011-07,45220263.08
2010-02-05,2011-07,43626826.40
2010-02-05,2011-08,47958515.07
2010-02-05,2011-08,46194905.48
2010-02-05,2011-08,46856505.31
2010-02-05,2011-08,47362026.80
2010-02-05,2011-09,45324717.90
2010-02-05,2011-09,46706731.43
2010-02-05,2011-09,43740432.56
2010-02-05,2011-09,42661514.22
2010-02-05,2011-09,42132335.14
2010-02-05,2011-10,47144435.06
2010-02-05,2011-10,44307818.42
2010-02-05,2011-10,45748546.55
2010-02-05,2011-10,45783308.99
2010-02-05,2011-11,48589092.67
2010-02-05,2011-11,48407183.21
2010-02-05,2011-11,46370600.50
2010-02-05,2011-11,66406537.84
2010-02-05,2011-12,49312927.72
2010-02-05,2011-12,55463532.15
2010-02-05,2011-12,59934722.36
2010-02-05,2011-12,76836499.39
2010-02-05,2011-12,45966404.61
2010-02-05,2012-01,44884037.39
2010-02-05,2012-01,41960232.57
2010-02-05,2012-01,42011646.20
2010-02-05,2012-01,39765399.79
2010-02-05,2012-02,46005586.12
2010-02-05,2012-02,49903091.78
2010-02-05,2012-02,50075871.97
2010-02-05,2012-02,45700785.03
2010-02-05,2012-03,46788593.08
2010-02-05,2012-03,47412332.97
2010-02-05,2012-03,46828353.02
2010-02-05,2012-03,44925097.85
2010-02-05,2012-03,45182869.46
2010-02-05,2012-04,53409640.66
2010-02-05,2012-04,46551131.86
2010-02-05,2012-04,44998176.04
2010-02-05,2012-04,43638785.42
2010-02-05,2012-05,47034216.77
2010-02-05,2012-05,46833291.56
2010-02-05,2012-05,46711323.57
2010-02-05,2012-05,47800408.90
2010-02-05,2012-06,48187502.52
2010-02-05,2012-06,49563512.84
2010-02-05,2012-06,48325706.08
2010-02-05,2012-06,47587500.83
2010-02-05,2012-06,46514250.31
2010-02-05,2012-07,51159553.36
2010-02-05,2012-07,46023757.12
2010-02-05,2012-07,45977760.86
2010-02-05,2012-07,44020795.38
2010-02-05,2012-08,47400724.13
2010-02-05,2012-08,47326592.20
2010-02-05,2012-08,47276280.42
2010-02-05,2012-08,47369429.21
2010-02-05,2012-08,47077945.60
2010-02-05,2012-09,48246280.29
2010-02-05,2012-09,44151249.82
2010-02-05,2012-09,44276898.80
2010-02-05,2012-09,43656971.57
2010-02-05,2012-10,47478705.39
